col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,scores,anomaly
19.02,9.540000000000001,11.702001,209.9,190.2,194.9,199.8,204.8,51.800000000000004,44.85016,50.075527,0.0,no
18.98,9.5,11.443001,210.2,190.2,194.9,199.8,204.8,51.78,41.492767,49.939888,0.0,no
19.0,9.540000000000001,11.548,210.1,190.2,195.2,199.8,204.8,51.76,44.074745,50.038536,0.0,no
19.06,9.52,11.741,210.0,190.2,195.2,199.8,204.8,51.84,44.56646,50.13718,0.0,no
19.02,9.56,11.610001,210.2,190.2,195.2,199.9,204.8,51.800000000000004,45.014267,50.013874,0.0,no
19.06,9.64,11.518001,210.2,190.2,195.2,199.9,204.8,51.86,38.75702,49.97688,0.0,no
19.080000000000002,9.52,11.869,210.1,190.2,195.2,199.9,204.8,51.86,42.84424,50.013874,0.0,no
19.080000000000002,9.52,11.935,210.0,190.2,195.1,199.9,204.8,51.84,44.001083,50.038536,0.0,no
19.02,9.5,11.68,210.2,190.2,195.1,199.9,204.9,51.800000000000004,44.48248,50.050865,0.0,no
19.04,9.540000000000001,11.741,210.1,190.1,195.1,199.9,204.9,51.800000000000004,44.595737,49.97688,0.0,no
19.06,9.48,11.829,210.0,190.1,195.1,199.9,204.9,51.86,40.52475,49.939888,0.0,no
19.02,9.48,11.694,210.2,190.1,195.2,200.2,204.9,51.82,43.765945,49.82891,0.0,no
19.06,9.46,11.845,210.2,190.0,195.1,200.2,204.9,51.88,44.49997,49.92756,0.0,no
19.0,9.52,11.557,209.9,189.8,195.1,200.2,205.2,51.800000000000004,44.65889,49.84124,0.0,no
19.02,9.540000000000001,11.483001,210.2,189.9,195.1,200.2,205.2,51.76,31.755524,49.878235,0.0,no
19.080000000000002,9.52,12.017,210.1,189.9,195.0,200.2,205.2,51.86,42.40055,49.915226,0.0,no
19.0,9.56,11.525001,210.0,190.2,194.7,200.1,205.2,51.800000000000004,43.929996,49.80425,0.0,no
19.080000000000002,9.42,11.860001,209.9,190.2,194.9,200.2,205.2,51.9,44.749508,49.92756,0.0,no
19.02,9.52,11.553,210.2,190.2,195.2,200.1,205.2,51.82,44.87034,49.80425,0.0,no
19.04,9.44,11.601001,210.1,190.2,195.2,200.1,205.2,51.800000000000004,32.17312,49.853573,0.0,no
19.02,9.56,11.588,210.0,190.1,195.2,200.1,205.1,51.800000000000004,43.570404,49.92756,0.0,no
19.06,9.5,11.842001,210.2,190.1,195.2,200.1,205.1,51.84,44.374256,49.96455,0.0,no
19.04,9.5,11.614,210.1,190.2,195.2,200.0,205.1,51.800000000000004,44.63274,49.92756,0.0,no
19.080000000000002,9.5,11.967001,210.0,190.1,195.2,199.9,205.1,51.84,44.65025,49.97688,0.0,no
19.080000000000002,9.5,11.995001,209.9,190.1,195.2,199.8,205.1,51.88,40.858116,50.050865,0.0,no
19.02,9.56,11.715,210.2,190.0,195.1,199.8,205.0,51.78,43.720226,50.038536,0.0,no
19.080000000000002,9.46,11.931001,210.0,189.7,195.1,199.8,204.8,51.84,44.553127,50.149513,0.0,no
19.080000000000002,9.46,11.931001,209.9,189.7,195.1,199.8,204.8,51.84,44.53455,50.075527,0.0,no
19.06,9.56,11.835001,210.0,189.7,195.1,199.8,204.8,51.84,44.80648,50.161842,0.0,no
19.06,9.52,11.832001,210.2,189.9,195.0,199.8,204.8,51.86,31.350365,50.08786,0.0,no
19.080000000000002,9.5,11.952001,210.0,189.9,194.8,199.8,204.8,51.84,40.47779,50.075527,0.0,no
19.04,9.56,11.832001,209.9,189.9,194.9,199.9,204.8,51.84,43.74195,50.10019,0.0,no
19.04,9.46,11.827001,210.2,189.9,194.8,199.9,204.8,51.82,44.316235,50.050865,0.0,no
19.04,9.46,11.827001,210.1,189.9,194.8,199.9,204.8,51.82,44.51559,50.013874,0.0,no
19.06,9.58,11.682,210.0,190.2,194.9,199.9,204.8,51.84,44.875584,50.08786,0.0,no
19.080000000000002,9.58,11.895,210.2,190.2,194.8,199.9,204.9,51.86,30.315628,50.12485,0.0,no
19.06,9.48,11.918,210.0,190.2,194.9,199.9,204.9,51.84,41.955833,50.026203,0.0,no
19.02,9.540000000000001,11.64,210.0,190.2,194.9,199.9,204.9,51.800000000000004,43.937798,50.026203,0.0,no
19.02,9.540000000000001,11.64,210.0,190.2,194.9,199.9,204.9,51.800000000000004,44.465466,50.10019,0.0,no
19.1,9.44,11.6970005,210.0,190.2,195.2,200.2,204.9,51.88,44.848747,50.198837,0.0,no
19.080000000000002,9.46,11.897,210.0,190.2,195.2,200.2,204.9,51.9,39.61109,50.038536,0.0,no
19.04,9.52,11.674001,210.0,190.2,195.2,200.2,205.2,51.82,40.03208,49.865902,0.0,no
19.04,9.52,11.672001,210.1,190.2,195.2,200.2,205.2,51.84,43.74157,49.92756,0.0,no
19.04,9.52,11.609,210.0,190.2,195.2,200.2,205.2,51.800000000000004,44.55866,49.902897,0.0,no
19.080000000000002,9.5,11.918,210.0,190.2,195.2,200.2,205.2,51.88,44.82235,49.939888,0.0,no
