Tempo Injecao;Tempo Plastificacao;Tempo de Ciclo;Almofada;Pressao Maxima;Qualidade
2,56;7,69;27,98;15,61;65,57;NOK (Burr)
2,47;8,73;29,12;15,51;66,73;NOK (Burr)
2,48;8,58;28,7;15,23;66,23;NOK (Burr)
2,52;8,58;28,07;15,28;65,73;NOK (Burr)
2,5;8,57;28,3;15,36;65,81;NOK (Burr)
2,51;8,91;30,9;15,82;68,3;NOK (Burr)
2,54;8,88;30,2;15,47;59,3;NOK (Burr)
2,56;7,71;27,7;15,58;66,1;NOK (Burr)
2,44;8,69;29,1;15,49;66,4;NOK (Burr)
2,49;8,63;28,5;15,37;65,9;NOK (Burr)
2,72;5,26;25,3;16,46;75,8;OK
2,71;5,23;25,2;16,46;75,7;OK
2,72;5,19;25,2;16,43;76,4;OK
2,72;5,21;25,2;16,47;75,9;OK
2,71;5,2;25,2;16,45;76;OK
2,73;5,22;25,2;16,47;76,3;OK
2,7;5,22;25,2;16,47;75,7;OK
2,73;5,2;25,2;16,47;76,3;OK
2,71;5,25;25,3;16,43;75,3;OK
2,72;5,19;25,2;16,48;76,4;OK
2,71;5,24;25,2;16,42;75,8;OK
2,72;5,22;25,2;16,44;76,1;OK
2,72;5,21;25,2;16,43;76,1;OK
2,73;5,21;25,2;16,48;76,1;OK
2,71;5,21;25,2;16,44;75,8;OK
2,72;5,18;25,2;16,47;76,5;OK
2,71;5,24;25,2;16,46;75,4;OK
2,72;5,22;25,3;16,46;75,7;OK
2,71;5,24;25,2;16,45;75,6;OK
2,72;5,21;25,2;16,47;76;OK
2,7;5,24;25,2;16,45;75,3;OK
2,72;5,23;25,2;16,46;75,8;OK
2,7;5,21;25,2;16,48;75,6;OK
2,72;5,22;25,2;16,49;75,7;OK
2,71;5,23;25,2;16,43;75,7;OK
2,72;5,21;25,2;16,43;75,8;OK
2,72;5,23;25,2;16,44;75,7;OK
2,71;5,22;25,2;16,45;75,5;OK
2,72;5,21;25,2;16,47;75,8;OK
2,72;5,19;25,2;16,44;76;OK
2,73;5,21;25,2;16,46;76;OK
2,71;5,24;25,3;16,43;75,3;OK
2,73;5,21;25,2;16,44;76,1;OK
2,71;5,24;25,2;16,45;75,6;OK
